voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K],TR_train[K/W]
90,1.311,118.1,60,120,0,0,1.153,394.25,311.525,282.0811253,283.4243613,344.51,0.6893750000000002
81.8,1.205,98.7,60,100,0,0,0.553,350.99,302.25,273.5077709,274.324734,363.55,0.4874000000000001
52.2,0.771,40.4,60,40,0,0,0.753,351.17,303.775,273.7174504,274.5721463,353.75,1.1848749999999995
52.5,0.774,40.8,60,40,0,0,0.773,355.25,303.675,273.5437004,274.5721463,353.75,1.289375000000001
51.9,0.767,39.9,60,40,0,0,0.583,338.65,303.825,273.404951,274.543736,353.75,0.8706249999999998
52.7,0.782,41.3,60,40,30,0,0.553,330.43,304.15,274.0838094,274.3610601,0,0.6569999999999994
52,0.768,40,60,40,0,0,0.723,348.09,303.7,273.4709361,274.5223459,353.75,1.1097499999999996
73.4,1.088,80,60,80,0,0,0.413,310.67,302.575,273.7130275,274.1742884,327.27,0.10118749999999962
90,1.316,118.5,60,120,30,0,1.733,377.61,346.275,277.2674021,294.4884434,0,0.26112499999999983
91,1.331,121.4,60,120,60,0,2.303,375.23,367.7,273.9574652,282.9671618,333.65,0.06275000000000025
80.8,1.185,95.9,60,100,60,0,1.693,367.21,355.45,274.0708692,288.3613992,362.37,0.11759999999999991
90.3,1.327,119.8,60,120,90,0,1.803,368.61,359.6,273.8902702,285.0690324,0,0.07508333333333325
90,1.319,118.8,60,120,30,0,1.413,365.09,338.7,274.6904545,292.6474357,0,0.21991666666666657
53.5,0.79,42.3,60,40,30,0,0.823,356.59,304.9,273.6819774,274.4576697,0,1.29225
72.2,1.063,76.8,60,80,90,0,1.503,363.91,347.125,274.0348729,287.7505422,314.55,0.2098124999999996
63.6,0.94,59.9,60,60,30,0,0.633,340.69,304.6,273.6060702,274.2530261,351.05,0.6014999999999996
52.5,0.775,40.7,60,40,60,0,0.813,352.21,306.4,273.7399152,276.6107321,352.47,1.14525
82,1.215,99.7,60,100,60,0,0.633,325.77,305.2,273.8620393,274.4576697,362.37,0.20569999999999994
82.6,1.212,100.2,60,100,30,0,1.193,364.55,336.925,276.1055033,290.7121515,338.17,0.27625
81.1,1.192,96.8,60,100,60,0,1.213,359.25,329.925,275.0539433,282.0218187,362.37,0.29325000000000045
52.3,0.775,40.5,60,40,60,0,0.623,340.51,304.575,273.4380972,274.4445398,352.47,0.898375
63.6,0.939,59.8,60,60,0,0,0.623,338.57,304.05,273.4614482,274.494123,352.85,0.575333333333333
72.4,1.07,77.4,60,80,90,0,0.673,345.47,301.625,273.582435,274.405322,314.55,0.5480624999999997
52,0.773,40.3,60,40,60,0,0.563,319.71,304.55,273.559878,274.5040064,352.47,0.3790000000000006
90.1,1.32,119.1,60,120,30,0,1.203,363.37,329.8,277.5473856,292.7522958,0,0.27975000000000044
90.9,1.329,120.9,60,120,60,0,2.343,375.43,367.55,274.1409591,284.3443438,333.65,0.06566666666666662
63.7,0.941,60,60,60,0,0,0.593,332.69,303.975,273.4786335,274.4445398,352.85,0.47858333333333386
62.9,0.925,58.1,60,60,30,0,1.003,363.17,308.4,274.5946453,276.5602786,351.05,0.912833333333333
91.1,1.331,121.4,60,120,60,0,2.393,375.53,368.875,274.655656,284.280551,333.65,0.0554583333333331
90,1.322,119,60,120,90,0,1.903,369.73,362.3,273.8297058,283.2371205,0,0.061916666666667196
63.8,0.942,60.2,60,60,0,0,0.593,332.69,303.975,273.4786335,274.4445398,352.85,0.47858333333333386
90.3,1.327,120,60,120,90,0,1.803,368.39,359.3,273.945613,284.7685197,0,0.07575000000000026
90,1.322,119.1,60,120,90,0,1.913,370.91,362.225,274.1287747,283.6172107,0,0.07237500000000002
72,1.06,76.4,60,80,90,0,1.593,365.37,349.3,273.9449843,288.9220216,314.55,0.20087500000000064
52.2,0.774,40.5,60,40,0,0,0.493,320.31,303.95,273.4709361,274.6219601,353.75,0.40900000000000036
74,1.083,80.2,60,80,60,0,1.213,360.69,330.825,273.9824662,285.1456589,371.51,0.3733125000000001
73.2,1.082,79.3,60,80,60,0,0.673,320.55,304.85,273.6647815,274.2239336,371.51,0.19624999999999987
90.2,1.327,119.8,60,120,90,0,1.503,364.35,349.325,273.8464194,278.9225644,0,0.12520833333333314
63.7,0.941,60.1,60,60,30,0,0.633,340.45,304.6,273.4891165,274.2530261,351.05,0.5975000000000004
63.5,0.942,59.8,60,60,0,0,0.513,312.53,303.8,273.5766146,274.4576697,352.85,0.1455000000000003
51.8,0.771,40,60,40,60,0,0.533,313.79,304.5,273.5949719,274.5296135,352.47,0.2322499999999991
71.6,1.055,75.9,60,80,90,0,1.483,364.03,344.025,273.7879655,291.3084462,314.55,0.25006249999999997
63.6,0.942,60,60,60,30,0,0.573,333.07,304.35,273.5334058,274.1533278,351.05,0.47866666666666713
74.4,1.085,80.8,60,80,0,0,0.563,393.85,303.75,273.741608,274.4227922,327.27,1.1262499999999995
63.7,0.94,59.9,60,60,0,0,0.633,337.25,304.05,273.4816625,274.494123,352.85,0.5533333333333341
71.9,1.058,76.2,60,80,90,0,1.533,364.87,348.325,274.0113942,289.259909,314.55,0.20681249999999948
82.2,1.21,99.6,60,100,90,0,1.093,358.75,315.25,273.7244563,278.2575108,371.29,0.435
64.2,0.942,60.6,60,60,90,0,0.833,353.33,311.675,273.9574652,276.080728,337.87,0.6942500000000005
83.9,1.233,103.6,60,100,90,0,1.733,367.53,361.925,274.2954257,282.6562699,371.29,0.05605000000000018
81.1,1.19,96.6,60,100,60,0,1.533,365.15,351.375,274.4208265,286.0654623,362.37,0.13774999999999976
64.3,0.944,61,60,60,90,0,0.863,354.39,316.875,273.7183309,277.3526777,337.87,0.6252499999999998
74.1,1.085,80.7,60,80,60,0,1.183,358.63,331.15,274.4979614,287.0779096,371.51,0.34350000000000025
72.4,1.067,77.4,60,80,90,0,0.983,355.51,315.35,274.4220063,285.3966322,314.55,0.5020000000000003
63.5,0.936,59.5,60,60,60,0,0.783,351.29,308.35,274.2914903,279.5400965,342.29,0.7156666666666667
50.6,0.753,36,60,40,0,0,0.423,307.43,303.975,273.513318,274.6430394,353.75,0.0863749999999996
73.5,1.09,80.2,60,80,30,0,0.473,317.31,301.95,273.7926508,274.5594916,335.47,0.19200000000000017
52,0.769,40.1,60,40,0,0,0.613,341.33,303.8,273.4363564,274.5933757,353.75,0.9382500000000007
52.6,0.779,41,60,40,30,0,0.603,337.13,304.35,274.0371302,274.3610601,0,0.8195000000000008
73.5,1.089,80,60,80,0,0,0.443,312.13,302.6,273.8297058,274.1972185,327.27,0.11912500000000037
72.5,1.07,77.5,60,80,90,0,0.733,348.99,301.95,273.5719005,274.4227922,314.55,0.5880000000000003
63.2,0.937,59.4,60,60,60,0,0.563,332.21,303.225,273.5537326,274.4801002,342.29,0.4830833333333336
83.2,1.217,101.3,60,100,0,0,0.633,381.25,305.65,274.0189074,276.4393768,363.55,0.7560000000000002
64.3,0.946,61,60,60,90,0,0.573,344.35,306.725,275.0047237,274.6091664,337.87,0.6270833333333333
63.1,0.934,59,60,60,60,0,0.563,333.31,303.275,273.5893177,274.5171747,342.29,0.5005833333333337
52.2,0.777,40.6,60,40,90,0,0.463,324.97,305.65,273.453315,274.4866625,322.31,0.4829999999999998
64.2,0.942,60.7,60,60,90,0,0.863,353.83,317.35,273.582435,276.7914283,337.87,0.6080000000000003
90.1,1.323,119.3,60,120,30,0,1.013,357.99,315.025,276.8116936,279.4165115,0,0.3580416666666669
73.2,1.081,79.3,60,80,60,0,0.663,320.17,304.85,273.6569517,274.2239336,371.51,0.19149999999999992
82.2,1.214,100,60,100,0,0,0.483,335.79,301.675,274.6675638,274.1742884,363.55,0.34115000000000006
74.4,1.085,80.9,60,80,0,0,0.563,394.85,303.75,273.741608,274.4227922,327.27,1.1387499999999995
90.1,1.325,119.5,60,120,30,0,0.923,355.79,315.825,275.4134045,279.5005249,0,0.33304166666666646
89.7,1.318,118.4,60,120,30,0,0.843,352.55,311.6,275.6837719,279.3298058,0,0.3412499999999999
90.5,1.336,120.7,60,120,60,0,0.693,316.73,304.475,274.070326,273.9761356,333.65,0.10212499999999997
91.2,1.335,121.8,60,120,60,0,2.043,371.29,359.75,273.577785,288.9020369,333.65,0.09616666666666636
52.5,0.774,40.7,60,40,0,0,0.783,355.43,303.675,273.5586563,274.5721463,353.75,1.2938749999999999
73.8,1.084,80,60,80,30,0,1.153,358.51,323.925,274.6642655,293.8868231,335.47,0.43231250000000043
90,1.323,119,60,120,90,0,1.543,364.45,350.8,274.0217798,279.777971,0,0.11375000000000028
63.6,0.938,59.8,60,60,30,0,0.773,353.19,305.25,274.7956002,274.5138182,351.05,0.798999999999999
52.7,0.781,41.2,60,40,30,0,0.553,330.63,304.15,274.0838094,274.3610601,0,0.6620000000000005
90,1.316,118.6,60,120,30,0,1.723,378.47,345.975,275.6583859,293.7617078,0,0.2707916666666667
73.2,1.082,79.4,60,80,60,0,0.663,318.99,304.875,273.6529911,274.1742884,371.51,0.1764375000000001
73.7,1.082,79.9,60,80,60,0,1.583,366.49,341.425,273.9824662,281.8438196,371.51,0.31331250000000066
90.4,1.324,119.8,60,120,60,0,1.553,365.47,343.95,274.1179876,287.3886797,333.65,0.17933333333333318
63.3,0.933,59.2,60,60,60,0,0.913,353.85,314.3,274.1091663,280.7484648,342.29,0.6591666666666669
63.5,0.935,59.3,60,60,30,0,0.923,357.61,308.775,275.8066897,276.9141954,351.05,0.8139166666666673
73.8,1.084,80.1,60,80,30,0,0.953,356.55,314.95,275.5943813,282.1514814,335.47,0.5199999999999996
72.4,1.07,77.8,60,80,90,0,0.783,350.49,302.225,273.9824662,274.3538134,314.55,0.6033125000000006
89.9,1.322,118.7,60,120,90,0,1.533,360.45,351.95,276.9381394,279.1948325,0,0.07083333333333333
84,1.234,103.8,60,100,90,0,1.783,368.57,363.05,273.8895945,283.0434322,371.29,0.05520000000000039
64.2,0.942,60.7,60,60,90,0,0.823,352.95,312.65,273.6744044,277.0307216,337.87,0.6716666666666669
73.5,1.084,80.1,60,80,30,0,0.553,342.97,301.7,273.6763079,274.5320275,335.47,0.5158749999999998
51.6,0.769,39.7,60,40,60,0,0.473,308.31,304.55,273.6060702,274.4306248,352.47,0.09399999999999978
62.9,0.925,58.3,60,60,30,0,1.063,359.41,308.075,275.8579513,275.8163021,351.05,0.855583333333333
90.1,1.32,119,60,120,30,0,1.333,364.25,334.5,275.6926364,296.0283012,0,0.24791666666666667
81.7,1.198,98.1,60,100,0,0,0.543,371.97,302.7,273.6667204,274.4056539,363.55,0.6926999999999999
52.3,0.774,40.6,60,40,60,0,0.613,334.41,304.55,273.4861547,274.4306248,352.47,0.7465000000000004
52.2,0.77,40.3,60,40,0,0,0.753,350.27,303.775,273.4771085,274.5721463,353.75,1.1623750000000002
73.6,1.081,79.7,60,80,60,0,1.453,363.95,343,274.436468,284.8605366,371.51,0.26187499999999986
51.6,0.769,39.8,60,40,60,0,0.443,306.59,304.525,273.5281534,274.543736,352.47,0.05162499999999994
64.2,0.941,60.5,60,60,90,0,0.873,353.97,316.95,273.7261944,276.9129775,337.87,0.6169999999999997
